Altium Designer Pick and Place Locations
C:\Users\pelop\Desktop\Neckog\Project Outputs for Printing\Pick Place for Printing2.csv

========================================================================================================================
File Design Information:

Date:       07.06.23
Time:       23:30
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation"
"RLY1","G5RL-1A-E-HR-DC24","TopLayer","relay","106.6352","10.5100","360"
"R86","StandardResistor","TopLayer","R_0805_GEN_0.60H","143.8910","126.8730","90"
"R85","StandardResistor","TopLayer","R_0805_GEN_0.60H","148.3360","130.4290","180"
"Q8","PJA3405_R1_00001","TopLayer","PJA3405_R1_00001","149.6060","134.0170","270"
"J27","B3B-XH-A(LF)(SN)","TopLayer","JST_B3B-XH-A(LF)(SN)","3.5560","84.1140","270"
"J53","B2B-XH-A(LF)(SN)","TopLayer","JST_B2B-XH-A(LF)(SN)","186.4360","43.4340","90"
"Fuse1","5*20mm Fuseholder","TopLayer","696310001002","142.6210","20.1020","90"
"U15","L7812CD2T-TR","TopLayer","TO254P1515X470-3N","102.7420","113.7920","180"
"Q6","SingleNMOS_G1S3DTAB","TopLayer","DPAK_SQD50N10-8M9L","78.7600","9.2270","180"
"Q1","SingleNPN_B1E2C3","TopLayer","SOT23-3_MMBT3904,215","25.2984","87.0966","90"
"R82","StandardJumper","TopLayer","R_0805_GEN_0.70H","77.4700","158.8770","0"
"R84","StandardJumper","TopLayer","R_0805_GEN_0.70H","142.0430","148.9710","0"
"R83","StandardJumper","TopLayer","R_0805_GEN_0.70H","131.0640","147.7010","90"
"R80","StandardJumper","TopLayer","R_0805_GEN_0.70H","58.1660","157.4800","90"
"R74","StandardJumper","TopLayer","R_0805_GEN_0.70H","57.4040","186.3090","270"
"SB4","","TopLayer","0805_SB","7.7470","37.2110","180"
"SB2","0805_SB","TopLayer","0805_SB","7.8740","52.4510","0"
"J34","B2B-XH-A(LF)(SN)","TopLayer","JST_B2B-XH-A(LF)(SN)","68.7832","3.8100","0"
"VR2","XC6206P122MR","TopLayer","SOT95P280X130-3N","157.6070","135.2550","90"
"C101","Capacitor","TopLayer","C_0805_GEN_1.40H","160.8200","135.2224","90"
"R171","StandardJumper","TopLayer","R_0805_GEN_0.70H","170.5610","89.9160","270"
"R57","StandardResistor","TopLayer","R_0805_GEN_0.70H","78.4860","75.6920","90"
"Q5","SingleNPN_B1E2C3","TopLayer","SOT23-3_MMBT3904,215","160.4518","34.6140","270"
"Q4","SingleNPN_B1E2C3","TopLayer","SOT23-3_MMBT3904,215","176.2904","34.4870","270"
"R185","StandardResistor","TopLayer","R_0805_GEN_0.70H","9.5250","115.5700","180"
"R197","StandardResistor","TopLayer","R_0805_GEN_0.70H","9.4742","138.6078","180"
"R195","StandardResistor","TopLayer","R_0805_GEN_0.70H","9.5250","174.1170","180"
"R194","StandardResistor","TopLayer","R_0805_GEN_0.70H","9.4742","127.4660","180"
"R193","StandardResistor","TopLayer","R_0805_GEN_0.70H","9.4742","150.4188","180"
"R170","StandardResistor","TopLayer","R_0805_GEN_0.70H","9.4742","103.1748","180"
"R196","StandardResistor","TopLayer","R_0805_GEN_0.70H","9.4742","162.7378","180"
"J19","5.08 Klemens","TopLayer","5.08_Klemens","157.3530","9.7790","180"
"J9","5.08 Klemens","TopLayer","5.08_Klemens","170.1800","9.7790","180"
"J12","5.08 Klemens","TopLayer","5.08_Klemens","183.0070","9.7790","180"
"D20","KP-2012SRC-PRV","TopLayer","0805_LED","14.5034","150.4188","180"
"D24","KP-2012SRC-PRV","TopLayer","0805_LED","14.5034","138.6078","180"
"D22","KP-2012SRC-PRV","TopLayer","0805_LED","14.4780","174.1170","180"
"D21","KP-2012SRC-PRV","TopLayer","0805_LED","14.5034","127.4660","180"
"D19","KP-2012SRC-PRV","TopLayer","0805_LED","14.4780","115.5700","180"
"D18","KP-2012SRC-PRV","TopLayer","0805_LED","14.5034","103.1748","180"
"D23","KP-2012SRC-PRV","TopLayer","0805_LED","14.5034","162.7124","180"
"D17","SK54BL","TopLayer","SMB_NRVBS360BT3G","139.5730","37.8460","0"
"R169","StandardResistor","TopLayer","R_0805_GEN_0.70H","103.1810","35.6870","0"
"R167","StandardResistor","TopLayer","R_0805_GEN_0.70H","103.1240","38.7350","0"
"R166","StandardJumper","TopLayer","R_0805_GEN_0.70H","159.8590","89.2460","270"
"R30","StandardResistor","TopLayer","R_0805_GEN_0.70H","103.1240","41.5290","0"
"R29","StandardJumper","TopLayer","R_0805_GEN_0.70H","150.0849","186.6770","270"
"D16","KP-2012SRC-PRV","TopLayer","0805_LED","96.7740","35.6870","0"
"D15","KP-2012SRC-PRV","TopLayer","0805_LED","96.7740","38.7350","0"
"D14","KP-2012SRC-PRV","TopLayer","0805_LED","96.7740","41.5290","0"
"Q15","SingleNMOS_G1S3DTAB","TopLayer","DPAK_SQD50N10-8M9L","14.9794","156.1381","90"
"U22","FOD817S","TopLayer","SOIC254P1016X385-4N","156.6926","26.3906","270"
"U21","FOD817S","TopLayer","SOIC254P1016X385-4N","172.7454","26.2636","270"
"R165","StandardResistor","TopLayer","R_0805_GEN_0.70H","157.4038","35.2868","90"
"R163","StandardResistor","TopLayer","R_0805_GEN_0.70H","173.3042","35.1598","90"
"Q2","SingleNPN_B1E2C3","TopLayer","SOT23-3_MMBT3904,215","25.0444","99.5934","90"
"U18","PSRAM_ESP32","TopLayer","SOP8","150.7926","104.6446","90"
"U20","FOD817S","TopLayer","SOIC254P1016X385-4N","13.5274","97.5809","180"
"U19","FOD817S","TopLayer","SOIC254P1016X385-4N","14.2240","85.3440","180"
"J30","CAM_CONN","TopLayer","CAM_CONN","185.6034","140.4080","90"
"VR1","XC6206P282MR","TopLayer","SOT95P280X130-3N","171.6924","158.1160","90"
"U17","IX4427N","TopLayer","SOIC127P600X175-8N","96.5200","138.3284","180"
"R134","StandardResistor","TopLayer","R_0805_GEN_0.70H","26.5274","94.7614","90"
"R133","StandardResistor","TopLayer","R_0805_GEN_0.70H","23.8974","94.7614","90"
"R39","StandardResistor","TopLayer","R_0805_GEN_0.70H","14.9174","93.5714","0"
"R38","StandardResistor","TopLayer","R_0805_GEN_0.70H","15.1714","81.2686","0"
"R37","StandardResistor","TopLayer","R_0805_GEN_0.70H","9.8774","93.5714","0"
